channel_id,channel_name,start_date,videos,views,subscribers
UCtz2up17s45WU2uVrI0VHlw,Locked On Sports Minnesota,2022-03-16T13:28:29.819596Z,1878.0,2070382.0,6930.0
UCxc3marqP9BJSkQ0_K4mqDg,SBT Sports,2014-02-14T14:36:48Z,3166.0,237781692.0,1070000.0
UC9dPWTGc09DgEPInEKE_WKg,Sports Explained,2021-09-21T00:31:23.916642Z,17.0,3190296.0,24100.0
UCJka5SDh36_N4pjJd69efkg,Savage Brick Sports,2017-01-21T18:01:03Z,675.0,656967664.0,552000.0
UCkd4takjjF1EGD1TKIK2QiA,Sky Sports Cricket,2020-02-27T12:35:44.811863Z,2042.0,215242803.0,549000.0
UCiPywDqO1dB34oxfEjjbQnw,Fubo Sports,2019-07-01T20:28:00Z,1647.0,91901500.0,229000.0
UCf8YPuOWXlpTS7RibaJlP4g,CBS Sports Golazo - Europe,2021-07-30T16:24:18.908629Z,911.0,41004162.0,92300.0
UCNU0Vv6U1xZS82cIQrgDeqw,Rabbitholebd Sports,2015-11-03T14:23:50Z,3090.0,1486347417.0,9200000.0
UCalwFtq-BVcszKLZ5k2vbLw,TVP Sport ,2011-03-21T13:03:37Z,6281.0,542711921.0,629000.0
UCr6Bv4M4Jsec9Xrc9lBOT7A,Sports,2015-06-10T19:55:53Z,62.0,13875782.0,45500.0
UCY_wPnc5xrvPekvHpLAvZvQ,Sports Gaming Universe,2011-04-26T06:33:48Z,18639.0,148163210.0,262000.0
UC8BwRPVvR0GPBa6h-F1H4XA,JioCinema Sports,2022-08-18T13:36:08.899123Z,3762.0,380659694.0,651000.0
UCYtNSrfGdXooZYu_hkq18_w,beIN SPORTS Asia,2017-01-03T04:14:16Z,30301.0,479576031.0,986000.0
UCEX1TT5u8pUdfOau_wDgaKg,Religion of Sports,2017-05-01T01:37:40Z,123.0,6144823.0,13600.0
UCJVU1UGN-YtwnAartLDdpIw,Nonstop,2020-01-08T07:33:23.448506Z,530.0,464864555.0,884000.0
UCdpbDsDj7ZVbkFqV2i7i84g,Midco Sports,2010-06-09T18:37:01Z,6317.0,6773764.0,10800.0
UCfzG_f8wyZbXdwxTCtikiIw,Marmita-sports,2019-01-04T07:54:35Z,3385.0,87249754.0,100000.0
UCs30f29MkDPs7rnY12r2GSA,Genius Sports,2020-04-28T11:40:01.886614Z,77.0,74156.0,964.0
UCcavZ-6Dj9XFqbgcPG72BZg,Rakuten Sports,2018-01-10T05:08:16Z,371.0,35265565.0,47800.0
